'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
'Takeoff (climb)',Positioning,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,1,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',7,2,0-10,'Human factor'
Flight,Cargo,'Plain, Valley',6,0,0-10,Unknown
Flight,Training,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Landing (descent or approach)',Training,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
Flight,'Illegal (smuggling)','Plain, Valley',2,0,0-10,'Human factor'
'Landing (descent or approach)',Private,Mountains,1,1,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8,152,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,4,0-10,Weather
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,8,0-10,'Human factor'
Flight,'Spraying (Agricultural)','Plain, Valley',1,0,0-10,Unknown
Parking,Test,'Airport (less than 10 km from airport)',0,0,0-10,'Human factor'
'Takeoff (climb)',Private,'Lake, Sea, Ocean, River',1,6,0-10,'Human factor'
Flight,Ambulance,'Plain, Valley',1,2,0-10,'Technical failure'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',1,10,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,Mountains,1,3,0-10,'Human factor'
'Landing (descent or approach)',Positioning,'Airport (less than 10 km from airport)',1,0,0-10,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',3,7,0-10,'Technical failure'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,2,0-10,'Technical failure'
Flight,Private,'Lake, Sea, Ocean, River',1,1,0-10,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,21,0-10,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,94,0-10,'Human factor'
Parking,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,25,0-10,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',1,0,0-10,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,5,0-10,'Technical failure'
Flight,Cargo,'Lake, Sea, Ocean, River',2,0,0-10,Weather
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',1,2,0-10,Unknown
Taxiing,Cargo,'Airport (less than 10 km from airport)',3,0,0-10,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',1,4,0-10,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',5,0,0-10,'Technical failure'
'Landing (descent or approach)',Private,'Airport (less than 10 km from airport)',1,3,0-10,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,'Lake, Sea, Ocean, River',1,9,0-10,'Technical failure'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',0,0,0-10,'Technical failure'
'Landing (descent or approach)',Positioning,'Lake, Sea, Ocean, River',1,0,0-10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,13,0-10,'Human factor'
Flight,'Skydiving / Paratroopers','Lake, Sea, Ocean, River',2,0,0-10,'Human factor'
Flight,Executive/Corporate/Business,Mountains,2,6,0-10,'Human factor'
'Landing (descent or approach)',Ambulance,'Airport (less than 10 km from airport)',1,2,0-10,'Human factor'
Flight,Training,Mountains,5,0,0-10,Unknown
Flight,'Fire fighting',Mountains,2,0,0-10,'Human factor'
Flight,'Spraying (Agricultural)','Plain, Valley',2,0,0-10,'Technical failure'
Flight,Ambulance,Mountains,1,1,0-10,Weather
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',1,1,0-10,'Human factor'
'Takeoff (climb)',Private,'Airport (less than 10 km from airport)',2,0,0-10,Unknown
Flight,Private,'Plain, Valley',1,5,0-10,Unknown
Flight,Executive/Corporate/Business,'Plain, Valley',1,1,0-10,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',2,12,0-10,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,0,0-10,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,3,0-10,'Human factor'
