'Flight phase','Flight type','Crash site','Crew on board','Pax on board','Total fatalities','Crash cause'
Flight,Demonstration,'Airport (less than 10 km from airport)',7,0,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,28,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',2,18,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',10,2,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,14,11-40,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,12,10,11-40,'Human factor'
'Takeoff (climb)',Government,City,3,4,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4,27,11-40,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,'Airport (less than 10 km from airport)',4,8,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',City,2,13,11-40,Weather
Flight,'Scheduled Revenue Flight',Mountains,3,15,11-40,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Technical failure'
Flight,Military,'Plain, Valley',6,15,11-40,'Other causes'
Flight,Ferry,Mountains,14,3,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,18,11-40,Weather
Flight,Military,'Plain, Valley',4,33,11-40,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',6,27,11-40,'Other causes'
Flight,Military,'Lake, Sea, Ocean, River',10,14,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',3,26,11-40,'Human factor'
'Takeoff (climb)',Military,City,6,18,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,32,11-40,'Human factor'
'Takeoff (climb)',Positioning,City,3,1,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,20,11-40,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,24,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',8,55,11-40,'Human factor'
'Landing (descent or approach)',Military,'Lake, Sea, Ocean, River',4,11,11-40,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',7,66,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',4,20,11-40,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)',Cargo,Mountains,10,13,11-40,'Other causes'
'Takeoff (climb)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',2,13,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,Military,Mountains,4,10,11-40,Weather
Flight,Humanitarian,Mountains,3,21,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',4,13,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,14,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,14,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',3,29,11-40,'Human factor'
Flight,Military,'Plain, Valley',5,17,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,13,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10,92,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',3,11,11-40,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',5,17,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,Test,'Lake, Sea, Ocean, River',3,8,11-40,Unknown
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',2,17,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,12,11-40,Unknown
'Landing (descent or approach)',Military,City,4,14,11-40,'Human factor'
Flight,Military,'Plain, Valley',5,33,11-40,Unknown
Flight,'Scheduled Revenue Flight','Plain, Valley',2,12,11-40,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',1,13,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,2,17,11-40,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',18,296,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',6,7,11-40,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',6,53,11-40,'Human factor'
Flight,Military,'Plain, Valley',13,19,11-40,'Terrorism act, Hijacking, Sabotage'
Parking,Military,'Airport (less than 10 km from airport)',0,0,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',6,21,11-40,Unknown
'Landing (descent or approach)',Military,City,3,7,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,3,20,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2,13,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',7,15,11-40,'Human factor'
'Landing (descent or approach)',Government,'Airport (less than 10 km from airport)',4,10,11-40,'Human factor'
Flight,'Skydiving / Paratroopers','Airport (less than 10 km from airport)',2,23,11-40,'Other causes'
Flight,Military,'Plain, Valley',6,28,11-40,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,22,11-40,'Other causes'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,6,28,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,16,11-40,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',7,35,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,36,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,48,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,11,11-40,'Human factor'
'Takeoff (climb)',Cargo,City,3,0,11-40,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',6,11,11-40,'Human factor'
'Takeoff (climb)',Cargo,City,8,16,11-40,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6,31,11-40,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3,15,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',7,21,11-40,Unknown
Flight,Cargo,'Plain, Valley',9,9,11-40,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,20,11-40,'Other causes'
'Landing (descent or approach)',Executive/Corporate/Business,Mountains,3,9,11-40,'Human factor'
'Landing (descent or approach)',Military,Mountains,8,11,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Plain, Valley',16,0,11-40,'Terrorism act, Hijacking, Sabotage'
Flight,Cargo,'Lake, Sea, Ocean, River',5,6,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',8,12,11-40,'Human factor'
'Takeoff (climb)',Cargo,'Airport (less than 10 km from airport)',3,18,11-40,'Technical failure'
Flight,Military,'Plain, Valley',2,16,11-40,Weather
'Takeoff (climb)',Cargo,City,4,0,11-40,'Technical failure'
Flight,Training,'Airport (less than 10 km from airport)',7,6,11-40,'Technical failure'
Flight,Military,'Plain, Valley',3,10,11-40,Unknown
'Landing (descent or approach)',Cargo,City,9,21,11-40,'Technical failure'
'Landing (descent or approach)',Military,Mountains,6,24,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,39,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6,25,11-40,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',5,22,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6,9,11-40,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers',City,1,10,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',8,0,11-40,Unknown
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',2,10,11-40,'Technical failure'
'Takeoff (climb)',Training,City,4,0,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5,31,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,74,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',City,5,45,11-40,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Lake, Sea, Ocean, River',3,38,11-40,'Human factor'
'Landing (descent or approach)',Humanitarian,'Airport (less than 10 km from airport)',5,50,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,City,4,10,11-40,'Technical failure'
'Takeoff (climb)',Military,'Plain, Valley',5,20,11-40,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',5,29,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,2,14,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,4,34,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',1,10,11-40,Unknown
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',14,0,11-40,'Human factor'
'Takeoff (climb)',Training,'Airport (less than 10 km from airport)',3,25,11-40,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',2,9,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,3,16,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,2,18,11-40,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,1,11,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',3,24,11-40,'Other causes'
Flight,Military,'Plain, Valley',6,13,11-40,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,19,11-40,'Human factor'
'Landing (descent or approach)',Cargo,Mountains,9,11,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,18,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,19,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,174,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,3,22,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,15,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,3,11,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,15,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,16,11-40,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3,16,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,2,15,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',21,0,11-40,Unknown
'Landing (descent or approach)',Military,Mountains,8,9,11-40,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',5,24,11-40,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',City,3,12,11-40,'Technical failure'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',9,14,11-40,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',10,27,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',4,24,11-40,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,2,20,11-40,'Human factor'
Flight,Military,'Plain, Valley',5,23,11-40,Weather
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,5,25,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,14,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',7,6,11-40,Unknown
'Takeoff (climb)','Skydiving / Paratroopers','Airport (less than 10 km from airport)',1,11,11-40,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3,49,11-40,'Human factor'
'Landing (descent or approach)',Military,'Plain, Valley',6,85,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,7,59,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight','Plain, Valley',5,47,41-100,'Technical failure'
'Landing (descent or approach)',Military,Mountains,8,80,41-100,'Technical failure'
Parking,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',12,106,41-100,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,81,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',12,66,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,Military,'Plain, Valley',6,44,41-100,Unknown
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,76,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight',Mountains,7,87,41-100,'Human factor'
'Takeoff (climb)',Military,City,8,15,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',11,50,41-100,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,3,50,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',City,5,48,41-100,'Human factor'
'Landing (descent or approach)',Military,Mountains,11,73,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,110,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5,41,41-100,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',3,38,41-100,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6,95,41-100,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,112,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',8,80,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',7,40,41-100,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6,63,41-100,'Human factor'
Flight,Military,Mountains,5,48,41-100,Weather
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)','Plain, Valley',5,44,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight',Mountains,8,90,41-100,'Human factor'
Flight,Military,'Lake, Sea, Ocean, River',5,70,41-100,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,13,62,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',City,9,56,41-100,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,4,47,41-100,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,108,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',7,38,41-100,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6,52,41-100,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',4,38,41-100,Weather
'Landing (descent or approach)',Military,Mountains,5,58,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,7,63,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,79,41-100,'Human factor'
Flight,Military,Mountains,5,71,41-100,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',City,8,71,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,69,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,77,41-100,'Human factor'
'Landing (descent or approach)',Military,'Lake, Sea, Ocean, River',6,57,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight',Mountains,4,40,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4,89,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,71,41-100,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,10,43,41-100,'Human factor'
Flight,Military,Mountains,6,45,41-100,'Technical failure'
'Landing (descent or approach)',Military,City,4,42,41-100,'Technical failure'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',9,61,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,7,58,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,60,41-100,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',6,41,41-100,'Human factor'
Flight,'Scheduled Revenue Flight',City,6,58,41-100,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',8,41,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',4,39,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',6,44,41-100,'Human factor'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',5,78,41-100,'Technical failure'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',4,43,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',7,48,41-100,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',5,39,41-100,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',4,37,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',12,63,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,75,41-100,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,6,37,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,6,38,41-100,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',5,69,41-100,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',3,49,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight','Lake, Sea, Ocean, River',5,83,41-100,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5,52,41-100,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',20,159,41-100,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,10,35,41-100,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',14,77,41-100,'Human factor'
'Landing (descent or approach)',Military,'Airport (less than 10 km from airport)',3,42,41-100,'Terrorism act, Hijacking, Sabotage'
Flight,'Scheduled Revenue Flight',City,11,81,41-100,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',13,327,41-100,'Human factor'
Flight,Military,Mountains,5,65,41-100,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight','Plain, Valley',12,119,101+,'Human factor'
'Takeoff (climb)',Military,City,12,122,101+,'Technical failure'
Flight,'Scheduled Revenue Flight','Plain, Valley',9,115,101+,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,14,99,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,11,130,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',11,106,101+,'Technical failure'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',8,151,101+,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Lake, Sea, Ocean, River',9,103,101+,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,12,107,101+,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Mountains,10,131,101+,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',8,108,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',5,127,101+,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',14,132,101+,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10,116,101+,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5,99,101+,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',12,120,101+,'Terrorism act, Hijacking, Sabotage'
'Takeoff (climb)','Scheduled Revenue Flight','Plain, Valley',14,146,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Plain, Valley',9,136,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',11,155,101+,'Human factor'
Flight,'Scheduled Revenue Flight','Plain, Valley',7,97,101+,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10,153,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,117,101+,'Human factor'
'Takeoff (climb)',Humanitarian,'Airport (less than 10 km from airport)',5,139,101+,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',7,124,101+,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,7,125,101+,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,8,155,101+,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',10,147,101+,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3.700874,26,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,19.5723,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2,16,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,Military,'Lake, Sea, Ocean, River',4,10,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Mountains,5.216407,25,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',4,10.630866,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,38.957953,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',4.715572,43.973478,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,102.952146,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',6,88.650733,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,4,11.630528,11-40,'Technical failure'
Flight,'Scheduled Revenue Flight','Airport (less than 10 km from airport)',1.928894,10,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5.241336,26,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,5,28,11-40,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3.70768,20,11-40,'Other causes'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3,20,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,13,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,1,10.365306,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,1,10,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,17.131169,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Landing (descent or approach)',Cargo,'Airport (less than 10 km from airport)',5.719076,7.22205,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Mountains,3,12.445106,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.003477,30.239106,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',5.25096,30.65675,11-40,'Human factor'
Flight,Military,'Airport (less than 10 km from airport)',4,10,11-40,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,16,11-40,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,16,11-40,'Human factor'
Flight,'Scheduled Revenue Flight',Mountains,2.285167,22.569082,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',14.340618,0,11-40,'Human factor'
Flight,'Survey / Patrol / Reconnaissance','Lake, Sea, Ocean, River',14.540329,0,11-40,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)','Airport (less than 10 km from airport)',3.061969,20,11-40,'Other causes'
'Takeoff (climb)',Military,'Airport (less than 10 km from airport)',4.957207,18,11-40,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2,10,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',2.900679,19,11-40,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight','Airport (less than 10 km from airport)',3,19.074361,11-40,'Human factor'
