'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
'Landing (descent or approach)',Humanitarian,No,'Airport (less than 10 km from airport)',Africa,6,6,30,30,0,36,'Technical failure'
Flight,Ferry,Yes,'Plain, Valley','North America',2,1,0,0,0,1,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Oceania,1,1,1,1,0,2,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,9,0,82,0,0,0,'Human factor'
Flight,Private,No,'Lake, Sea, Ocean, River','North America',1,1,3,3,0,4,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,11,0,0,0,'Human factor'
'Landing (descent or approach)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)',Europe,1,0,2,0,0,0,'Human factor'
'Landing (descent or approach)',Training,Yes,'Lake, Sea, Ocean, River',Asia,6,3,0,0,0,3,'Technical failure'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)',Africa,2,2,1,1,0,3,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',No,Mountains,'Central America',7,7,58,58,0,65,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,Asia,6,6,4,4,0,10,'Human factor'
'Takeoff (climb)','Survey / Patrol / Reconnaissance',Yes,'Airport (less than 10 km from airport)',Asia,2,0,23,0,0,0,'Other causes'
Flight,'Scheduled Revenue Flight',No,Mountains,'South America',2,2,6,6,0,8,'Human factor'
Flight,Private,Yes,'Lake, Sea, Ocean, River',World,1,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,0,0,0,0,'Technical failure'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Asia,1,0,10,0,0,0,'Other causes'
Flight,Executive/Corporate/Business,No,'Plain, Valley','North America',1,1,1,1,0,2,'Human factor'
'Takeoff (climb)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',3,1,0,0,0,1,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',2,0,12,0,0,0,'Technical failure'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Plain, Valley','North America',3,1,26,7,0,8,'Technical failure'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Ferry,Yes,'Airport (less than 10 km from airport)','South America',2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Ferry,No,'Airport (less than 10 km from airport)',Europe,6,6,0,0,0,6,'Technical failure'
Flight,Positioning,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,1,2,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,7,7,0,8,'Human factor'
Flight,Demonstration,No,'Lake, Sea, Ocean, River','North America',7,7,0,0,0,7,'Human factor'
'Landing (descent or approach)',Private,No,'Plain, Valley','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','South America',4,4,18,18,0,22,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers',No,City,'North America',1,1,10,10,1,12,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,0,40,3,0,3,'Technical failure'
Flight,Military,No,'Lake, Sea, Ocean, River',Asia,5,5,70,70,0,75,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',1,1,8,4,0,5,'Human factor'
Flight,'Fire fighting',No,'Plain, Valley',Europe,2,2,0,0,0,2,Unknown
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River','North America',1,1,5,5,0,6,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,Mountains,Asia,6,6,37,36,0,42,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
'Takeoff (climb)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Takeoff (climb)','Survey / Patrol / Reconnaissance',No,'Airport (less than 10 km from airport)','North America',4,4,20,20,0,24,'Other causes'
Flight,Cargo,No,Mountains,'South America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Ambulance,Yes,'Airport (less than 10 km from airport)',Africa,2,0,2,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,1,9,7,0,8,'Human factor'
Flight,Private,No,'Plain, Valley','North America',2,2,3,3,0,5,'Human factor'
Flight,'Survey / Patrol / Reconnaissance',No,'Plain, Valley',Asia,2,2,4,4,0,6,Unknown
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley',Asia,2,1,12,0,0,1,'Technical failure'
'Landing (descent or approach)',Government,No,'Airport (less than 10 km from airport)','South America',2,2,2,2,0,4,Weather
Flight,Delivery,Yes,'Plain, Valley','North America',1,0,2,2,0,2,Unknown
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)',Europe,1,1,0,0,0,1,'Human factor'
Flight,Training,No,'Plain, Valley',Europe,2,2,2,2,0,4,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,Mountains,Asia,2,2,8,0,0,2,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',2,0,4,1,0,1,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,3,0,5,0,0,0,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
Flight,Humanitarian,No,'Plain, Valley',Africa,2,2,3,3,0,5,Weather
Flight,Private,Yes,Mountains,'North America',1,0,4,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,3,0,17,0,0,0,'Other causes'
'Takeoff (climb)',Military,No,'Lake, Sea, Ocean, River',Europe,7,7,0,0,0,7,'Technical failure'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','South America',2,2,3,3,0,5,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,6,4,7,4,0,8,'Human factor'
Flight,Cargo,No,'Plain, Valley','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)',Europe,1,0,5,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley','Central America',1,1,10,8,0,9,'Human factor'
Flight,'Spraying (Agricultural)',No,'Plain, Valley',Oceania,1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Asia,4,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Illegal (smuggling)',Yes,'Plain, Valley','Central America',0,0,0,0,0,0,'Human factor'
Flight,Military,No,Mountains,'South America',5,5,48,48,0,53,Weather
Flight,'Survey / Patrol / Reconnaissance',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Takeoff (climb)',Government,No,'Airport (less than 10 km from airport)','South America',2,2,5,5,0,7,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',2,0,7,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',NA,'Plain, Valley','South America',0,0,0,0,0,0,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,4,0,0,0,'Human factor'
'Landing (descent or approach)','Postal (mail)',Yes,'Airport (less than 10 km from airport)','North America',2,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,6,0,3,0,0,0,'Human factor'
'Takeoff (climb)',Ambulance,Yes,'Lake, Sea, Ocean, River','North America',1,0,3,0,0,0,'Human factor'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)','South America',2,2,4,4,0,6,Unknown
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,7,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',2,2,2,1,0,3,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,City,Europe,1,0,3,0,0,0,Weather
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,6,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',2,0,1,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,0,102,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,5,3,71,68,0,71,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,2,76,50,0,52,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,13,0,0,0,'Other causes'
'Takeoff (climb)',Humanitarian,No,'Airport (less than 10 km from airport)','North America',1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,7,0,11,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'Central America',2,2,18,18,0,20,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,Asia,8,8,90,90,0,98,'Human factor'
'Landing (descent or approach)',Private,Yes,'Lake, Sea, Ocean, River',Europe,1,0,5,0,0,0,'Human factor'
Flight,Training,No,'Airport (less than 10 km from airport)',Oceania,1,1,0,0,0,1,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Europe,8,8,41,41,0,49,'Human factor'
Flight,Executive/Corporate/Business,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Cargo,No,Mountains,'Central America',2,2,0,0,0,2,'Technical failure'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Illegal (smuggling)',Yes,'Plain, Valley','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Illegal (smuggling)',Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Takeoff (climb)','Postal (mail)',Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Other causes'
'Takeoff (climb)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,5,4,139,137,0,141,'Other causes'
Flight,'Scheduled Revenue Flight',Yes,Mountains,'South America',8,8,155,151,0,159,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',17,0,451,0,0,0,'Human factor'
Flight,Private,No,'Plain, Valley','North America',1,1,5,5,0,6,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,5,0,39,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,1,11,1,0,2,'Human factor'
'Landing (descent or approach)',Training,No,Mountains,'North America',2,2,0,0,0,2,'Human factor'
'Takeoff (climb)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)','South America',2,0,10,1,0,1,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,12,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,5,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,0,75,0,0,0,Weather
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Ferry,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Oceania,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Ferry,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','North America',2,0,3,0,0,0,'Other causes'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)',Europe,1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',5,0,39,0,0,0,'Human factor'
'Landing (descent or approach)',Ambulance,Yes,'Airport (less than 10 km from airport)','North America',2,2,2,1,0,3,'Human factor'
'Takeoff (climb)',Cargo,Yes,City,Africa,4,1,2,0,297,298,'Other causes'
Flight,'Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River','Central America',1,0,9,1,0,1,'Technical failure'
Flight,Positioning,No,'Lake, Sea, Ocean, River','North America',1,1,0,0,0,1,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley',Africa,1,1,9,9,0,10,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',2,2,3,3,0,5,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Government,No,'Airport (less than 10 km from airport)',Africa,4,4,10,10,0,14,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',1,0,2,0,0,0,'Human factor'
'Landing (descent or approach)',Test,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
Flight,Executive/Corporate/Business,No,'Plain, Valley','North America',1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','North America',2,0,6,0,0,0,'Technical failure'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Europe,2,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',2,0,4,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)',Africa,2,2,0,0,0,2,Unknown
Flight,Cargo,Yes,'Plain, Valley','North America',1,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,5,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Oceania,1,0,5,5,0,5,'Human factor'
'Takeoff (climb)','Postal (mail)',Yes,'Airport (less than 10 km from airport)','North America',2,1,1,0,0,1,'Human factor'
'Landing (descent or approach)',Ambulance,No,Mountains,'North America',1,1,2,2,0,3,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','South America',3,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Positioning,No,City,'South America',3,3,1,1,18,22,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,1,0,0,0,Unknown
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',2,2,2,2,0,4,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River','Central America',13,13,176,176,0,189,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)','Central America',2,2,6,6,0,8,'Human factor'
Flight,Test,Yes,'Airport (less than 10 km from airport)',Oceania,1,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)','Postal (mail)',No,'Airport (less than 10 km from airport)',Oceania,1,1,0,0,0,1,'Human factor'
Flight,Positioning,Yes,Mountains,Asia,2,0,0,0,0,0,'Human factor'
Flight,Training,No,'Plain, Valley','Central America',3,3,0,0,0,3,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',2,2,13,9,0,11,'Technical failure'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)',Oceania,2,0,7,0,0,0,'Technical failure'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)',Africa,1,1,4,4,0,5,Unknown
Flight,Cargo,No,Mountains,'North America',1,1,0,0,0,1,Unknown
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','Central America',2,2,0,0,0,2,'Human factor'
Flight,Private,No,'Lake, Sea, Ocean, River',World,1,1,0,0,0,1,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Airport (less than 10 km from airport)',Europe,2,2,8,8,0,10,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',5,0,82,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',1,0,4,1,0,1,'Technical failure'
'Landing (descent or approach)',Calibration,No,'Airport (less than 10 km from airport)',Europe,3,3,5,5,2,10,'Human factor'
Flight,Training,Yes,Mountains,Africa,2,0,9,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Plain, Valley',Asia,7,0,3,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,6,0,36,0,0,0,'Technical failure'
'Landing (descent or approach)',Military,No,'Plain, Valley',Africa,6,6,85,85,0,91,'Technical failure'
'Landing (descent or approach)',Cargo,No,'Plain, Valley',Africa,6,6,3,3,0,9,'Terrorism act, Hijacking, Sabotage'
Flight,Private,NA,Mountains,Africa,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)','South America',6,6,117,117,0,123,'Human factor'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',2,2,7,7,0,9,'Human factor'
'Landing (descent or approach)',Delivery,No,'Lake, Sea, Ocean, River',Asia,1,1,0,0,0,1,Unknown
'Takeoff (climb)',Training,No,'Airport (less than 10 km from airport)',Asia,2,2,0,0,0,2,Unknown
Flight,'Geographical / Geophysical / Scientific',No,'Plain, Valley','South America',2,2,1,1,0,3,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,6,0,10,0,0,0,Unknown
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River','South America',1,1,7,7,0,8,'Technical failure'
'Landing (descent or approach)',Delivery,Yes,'Airport (less than 10 km from airport)',Europe,1,0,0,0,0,0,'Human factor'
Flight,Training,No,'Lake, Sea, Ocean, River',World,3,3,0,0,0,3,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',2,0,18,0,0,0,'Technical failure'
Taxiing,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','South America',2,0,0,0,0,0,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,2,0,15,6,0,6,'Human factor'
'Landing (descent or approach)',Cargo,No,Mountains,Asia,9,9,11,11,0,20,'Human factor'
'Takeoff (climb)',Military,No,'Lake, Sea, Ocean, River',Africa,2,2,6,6,0,8,'Technical failure'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,1,0,0,0,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',2,0,9,0,0,0,Unknown
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','South America',2,0,6,0,0,0,Unknown
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)','Central America',1,0,3,0,0,0,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,'Lake, Sea, Ocean, River',Asia,0,0,0,0,0,0,Unknown
'Takeoff (climb)','Spraying (Agricultural)',Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,2,0,6,0,0,0,Unknown
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)',Africa,1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,27,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)',Asia,1,1,5,5,0,6,'Human factor'
'Landing (descent or approach)',Positioning,No,'Airport (less than 10 km from airport)','South America',2,2,0,0,0,2,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','North America',1,1,2,2,0,3,'Technical failure'
Flight,Military,No,'Plain, Valley',Asia,2,2,0,0,0,2,Unknown
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','South America',11,0,79,0,0,0,'Other causes'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Lake, Sea, Ocean, River',World,1,1,2,2,0,3,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',No,City,Africa,5,5,48,48,0,53,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',2,0,11,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Lake, Sea, Ocean, River','North America',2,0,1,0,0,0,'Other causes'
Flight,Delivery,No,Mountains,'North America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',3,3,16,14,0,17,Weather
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',1,1,3,3,0,4,Unknown
Flight,'Scheduled Revenue Flight',Yes,Mountains,Oceania,1,0,9,1,0,1,'Human factor'
NA,Military,NA,'Plain, Valley','South America',0,0,0,0,0,0,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,Europe,2,2,2,2,0,4,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',4,0,43,0,0,0,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','Central America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)','South America',0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,3,0,16,0,0,0,'Human factor'
'Landing (descent or approach)',Ambulance,Yes,'Airport (less than 10 km from airport)',Europe,1,1,2,0,0,1,Unknown
'Landing (descent or approach)',Private,No,Mountains,'North America',1,1,0,0,0,1,'Human factor'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)','South America',2,2,2,2,0,4,Unknown
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)','North America',1,0,0,0,0,0,'Human factor'
'Takeoff (climb)',Private,Yes,'Lake, Sea, Ocean, River','North America',1,0,6,0,0,0,'Human factor'
Flight,Military,No,'Plain, Valley',Asia,2,2,2,2,0,4,Unknown
'Takeoff (climb)',Test,No,'Airport (less than 10 km from airport)','North America',1,1,4,4,0,5,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',0,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,Yes,'Airport (less than 10 km from airport)',Europe,1,0,2,0,0,0,Unknown
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'North America',1,1,3,3,0,4,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Europe,4,0,0,0,0,0,Unknown
Flight,Private,No,'Plain, Valley','North America',1,1,3,3,0,4,Weather
'Takeoff (climb)',Training,Yes,'Airport (less than 10 km from airport)','South America',2,1,2,0,1,2,'Human factor'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)',Africa,7,7,3,3,0,10,'Human factor'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Asia,7,4,0,0,0,4,'Human factor'
'Takeoff (climb)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,15,0,260,3,0,3,'Technical failure'
Flight,'Spraying (Agricultural)',No,'Plain, Valley',Asia,2,2,0,0,0,2,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','North America',1,0,6,0,0,0,'Technical failure'
'Landing (descent or approach)','Skydiving / Paratroopers',Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,'Technical failure'
Flight,NA,Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','North America',1,1,0,0,0,1,'Human factor'
