'Flight phase','Flight type',Survivors,'Crash site',Region,'Crew on board','Crew fatalities','Pax on board','PAX fatalities','Other fatalities','Total fatalities','Crash cause'
Flight,'Spraying (Agricultural)',Yes,'Plain, Valley',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',NA,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Topographic,No,'Airport (less than 10 km from airport)',Asia,1,1,3,3,0,4,'Technical failure'
'Takeoff (climb)','Scheduled Revenue Flight',No,City,Asia,2,2,19,19,4,25,'Technical failure'
Flight,'Spraying (Agricultural)',No,'Plain, Valley','North America',2,2,0,0,0,2,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)','South America',1,1,4,4,0,5,'Human factor'
'Landing (descent or approach)',Private,No,'Airport (less than 10 km from airport)',Africa,1,1,5,5,0,6,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','South America',2,2,5,5,0,7,'Human factor'
Flight,'Scheduled Revenue Flight',No,Mountains,'South America',1,1,3,3,0,4,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,4,0,29,0,0,0,'Human factor'
'Landing (descent or approach)',Positioning,Yes,'Airport (less than 10 km from airport)','North America',4,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Survey / Patrol / Reconnaissance',No,'Airport (less than 10 km from airport)',Europe,1,1,3,3,0,4,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',3,2,39,20,0,22,'Human factor'
Flight,'Spraying (Agricultural)',No,'Plain, Valley',Asia,1,1,1,1,0,2,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,10,0,0,0,0,0,'Terrorism act, Hijacking, Sabotage'
Flight,Military,No,Mountains,'South America',2,2,4,4,0,6,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','Central America',3,0,0,0,0,0,'Technical failure'
Flight,Private,No,Mountains,'South America',2,2,0,0,0,2,Unknown
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','South America',2,0,0,0,0,0,'Technical failure'
Flight,Private,No,'Lake, Sea, Ocean, River','Central America',1,1,0,0,0,1,'Technical failure'
'Takeoff (climb)',Cargo,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Human factor'
'Takeoff (climb)','Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley','North America',1,1,1,1,0,2,Unknown
Flight,Ferry,No,'Plain, Valley',Asia,2,2,1,1,0,3,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Plain, Valley','North America',1,0,8,0,0,0,'Technical failure'
'Takeoff (climb)',Humanitarian,Yes,'Airport (less than 10 km from airport)',Africa,2,0,20,0,1,1,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,Mountains,Oceania,1,1,11,7,0,8,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Lake, Sea, Ocean, River','Central America',1,1,1,1,0,2,'Human factor'
Parking,Test,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
Parking,Test,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)','Central America',3,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,5,0,0,0,0,0,'Technical failure'
'Landing (descent or approach)',Military,No,Mountains,Asia,5,5,0,0,0,5,Unknown
'Landing (descent or approach)',Ferry,Yes,'Airport (less than 10 km from airport)','North America',2,0,0,0,0,0,'Technical failure'
Flight,Training,Yes,'Plain, Valley',Oceania,1,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Africa,2,0,10,0,0,0,'Human factor'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,3,0,0,0,0,0,'Technical failure'
'Takeoff (climb)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,0,0,0,0,'Other causes'
Flight,'Survey / Patrol / Reconnaissance',No,'Plain, Valley',Europe,2,2,0,0,0,2,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','South America',2,0,8,0,0,0,Unknown
'Landing (descent or approach)','Survey / Patrol / Reconnaissance',Yes,'Plain, Valley',Asia,3,0,2,0,0,0,Weather
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',NA,'Plain, Valley',Europe,0,0,0,0,0,0,Unknown
'Takeoff (climb)',Training,Yes,'Airport (less than 10 km from airport)',Europe,2,0,0,0,0,0,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,Mountains,'South America',1,1,8,8,0,9,'Technical failure'
'Takeoff (climb)','Survey / Patrol / Reconnaissance',Yes,'Plain, Valley',Asia,3,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Ferry,Yes,'Airport (less than 10 km from airport)',Europe,1,0,1,0,0,0,'Technical failure'
'Takeoff (climb)',Military,No,'Airport (less than 10 km from airport)',Asia,5,5,78,78,0,83,'Technical failure'
'Landing (descent or approach)','Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Airport (less than 10 km from airport)','Central America',2,1,6,0,0,1,'Human factor'
Flight,Private,NA,'Plain, Valley',Europe,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Africa,4,0,1,0,0,0,'Technical failure'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,2,0,0,0,0,0,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,'Human factor'
Flight,Military,No,'Plain, Valley',Asia,2,2,16,16,0,18,Weather
Flight,'Illegal (smuggling)',Yes,Mountains,'Central America',2,2,1,1,0,3,'Human factor'
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)',Europe,0,0,0,0,0,0,'Human factor'
'Landing (descent or approach)',Private,No,City,'North America',1,1,2,2,0,3,'Human factor'
'Landing (descent or approach)',Government,Yes,'Airport (less than 10 km from airport)',Asia,8,0,32,1,0,1,Unknown
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)',Europe,8,8,9,5,0,13,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','North America',1,0,9,3,0,3,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,Mountains,Asia,2,2,6,1,0,3,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Africa,0,0,0,0,0,0,Unknown
Parking,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,'Human factor'
Flight,Delivery,No,'Lake, Sea, Ocean, River',World,6,6,10,10,0,16,'Technical failure'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',No,'Plain, Valley',Europe,2,2,6,6,0,8,'Technical failure'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,5,1,124,3,0,4,'Human factor'
'Takeoff (climb)',Private,No,'Airport (less than 10 km from airport)','South America',1,1,2,2,0,3,'Technical failure'
'Takeoff (climb)',Government,No,'Lake, Sea, Ocean, River','South America',2,2,10,10,0,12,'Human factor'
Flight,'Charter/Taxi (Non Scheduled Revenue Flight)',Yes,'Lake, Sea, Ocean, River','Central America',1,1,1,0,0,1,'Technical failure'
Flight,'Scheduled Revenue Flight',Yes,'Plain, Valley','South America',2,0,5,0,0,0,'Technical failure'
Flight,Private,Yes,'Lake, Sea, Ocean, River','North America',1,0,5,0,0,0,'Technical failure'
Flight,'Fire fighting',No,Mountains,Europe,1,1,0,0,0,1,Weather
'Landing (descent or approach)',Military,No,'Airport (less than 10 km from airport)',Europe,2,2,0,0,0,2,Unknown
'Landing (descent or approach)',Demonstration,Yes,'Airport (less than 10 km from airport)','North America',4,0,0,0,0,0,Unknown
Flight,'Fire fighting',No,Mountains,'North America',2,2,0,0,0,2,Unknown
Flight,Demonstration,No,'Lake, Sea, Ocean, River','North America',1,1,7,7,0,8,'Human factor'
Flight,Cargo,No,'Lake, Sea, Ocean, River','Central America',2,2,0,0,0,2,'Technical failure'
Flight,Private,No,Mountains,'Central America',1,1,2,2,0,3,Unknown
Parking,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,9,1,122,0,0,1,'Terrorism act, Hijacking, Sabotage'
Parking,'Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,12,0,106,46,0,46,'Terrorism act, Hijacking, Sabotage'
Flight,Military,NA,'Airport (less than 10 km from airport)',Africa,0,0,0,0,0,0,'Terrorism act, Hijacking, Sabotage'
'Landing (descent or approach)',Cargo,Yes,'Airport (less than 10 km from airport)',Asia,5,4,5,5,0,9,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,Yes,'Airport (less than 10 km from airport)','Central America',2,0,11,0,0,0,'Other causes'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Europe,2,0,13,0,0,0,'Human factor'
'Takeoff (climb)',Private,Yes,'Airport (less than 10 km from airport)','North America',1,0,3,0,0,0,'Human factor'
Flight,Cargo,No,Mountains,'South America',3,3,0,0,0,3,'Human factor'
'Takeoff (climb)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)',Asia,7,0,164,0,0,0,'Human factor'
'Takeoff (climb)',Ferry,No,'Airport (less than 10 km from airport)',Europe,1,1,0,0,0,1,'Human factor'
'Landing (descent or approach)','Survey / Patrol / Reconnaissance',Yes,'Plain, Valley',Asia,2,2,3,1,0,3,'Human factor'
'Landing (descent or approach)','Scheduled Revenue Flight',Yes,'Airport (less than 10 km from airport)','Central America',7,2,24,9,0,11,'Human factor'
'Landing (descent or approach)',Military,Yes,'Airport (less than 10 km from airport)',Europe,3,2,12,1,0,3,'Human factor'
'Landing (descent or approach)','Fire fighting',Yes,'Airport (less than 10 km from airport)',Asia,0,0,0,0,0,0,Unknown
'Landing (descent or approach)',Test,No,'Airport (less than 10 km from airport)','North America',2,2,0,0,0,2,'Human factor'
Flight,'Scheduled Revenue Flight',Yes,Mountains,'South America',1,0,11,0,0,0,Unknown
'Landing (descent or approach)',Cargo,No,'Airport (less than 10 km from airport)',Oceania,1,1,0,0,0,1,Unknown
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)','North America',2,0,1,0,0,0,'Human factor'
'Landing (descent or approach)',Executive/Corporate/Business,No,'Airport (less than 10 km from airport)','North America',1,1,4,4,0,5,'Human factor'
Flight,Private,No,'Plain, Valley','North America',1,1,2,2,0,3,'Technical failure'
'Landing (descent or approach)',Training,Yes,'Airport (less than 10 km from airport)',Africa,2,1,0,0,0,1,'Technical failure'
'Takeoff (climb)',Military,Yes,'Airport (less than 10 km from airport)','South America',10,9,0,0,0,9,Unknown
Flight,Cargo,Yes,'Plain, Valley',Europe,6,0,0,0,0,0,'Technical failure'
Flight,'Scheduled Revenue Flight',No,Mountains,'South America',4,4,12,12,0,16,'Human factor'
Flight,Military,NA,'Plain, Valley',Africa,0,0,0,0,0,0,Unknown
'Landing (descent or approach)','Scheduled Revenue Flight',No,'Airport (less than 10 km from airport)',Asia,5,5,33,33,0,38,'Human factor'
